,Questions,Answers
0,i'm fine. how about yourself?,i'm pretty good. thanks for asking.
1,i'm pretty good. thanks for asking.,no problem. so how have you been?
2,no problem. so how have you been?,i've been great. what about you?
3,i've been great. what about you?,i've been good. i'm in school right now.
4,i've been good. i'm in school right now.,what school do you go to?
5,what school do you go to?,i go to pcc.
6,i go to pcc.,do you like it there?
7,do you like it there?,it's okay. it's a really big campus.
8,it's okay. it's a really big campus.,good luck with school.
9,good luck with school.,thank you very much.
10,how's it going?,i'm doing well. how about you?
11,i'm doing well. how about you?,"never better, thanks."
12,"never better, thanks.",so how have you been lately?
13,so how have you been lately?,i've actually been pretty good. you?
14,i've actually been pretty good. you?,i'm actually in school right now.
15,i'm actually in school right now.,which school do you attend?
16,which school do you attend?,i'm attending pcc right now.
17,i'm attending pcc right now.,are you enjoying it there?
18,are you enjoying it there?,it's not bad. there are a lot of people there.
19,it's not bad. there are a lot of people there.,good luck with that.
20,good luck with that.,thanks.
21,how are you doing today?,i'm doing great. what about you?
22,i'm doing great. what about you?,"i'm absolutely lovely, thank you."
23,"i'm absolutely lovely, thank you.",everything's been good with you?
24,everything's been good with you?,i haven't been better. how about yourself?
25,i haven't been better. how about yourself?,i started school recently.
26,i started school recently.,where are you going to school?
27,where are you going to school?,i'm going to pcc.
28,i'm going to pcc.,how do you like it so far?
29,how do you like it so far?,i like it so far. my classes are pretty good right now.
30,i like it so far. my classes are pretty good right now.,i wish you luck.
31,it's an ugly day today.,i know. i think it may rain.
32,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
33,"it's the middle of summer, it shouldn't rain today.",that would be weird.
34,that would be weird.,"yeah, especially since it's ninety degrees outside."
35,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
36,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. "
37,"yes, it would be. ",i really wish it wasn't so hot every day. 
38,i really wish it wasn't so hot every day. ,me too. i can't wait until winter.
39,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
40,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
